,product_x,product_y,weight
0,2,2593,1
1,19162,23405,1
2,19162,21621,1
3,19162,19450,1
4,19151,49481,1
5,19151,49189,1
6,19151,48965,1
7,19151,48437,1
8,19151,47805,1
9,19151,47436,1
10,19151,47385,1
11,19151,47284,1
12,19151,47131,1
13,19162,23516,1
14,19151,46962,1
15,19151,46607,1
16,19151,46473,1
17,19151,46453,1
18,19151,46222,1
19,19151,46163,1
20,19151,46147,1
21,19151,45886,1
22,19151,45753,1
23,19151,45748,1
24,19151,45694,1
25,19151,45258,1
26,19151,44813,1
27,19151,46677,1
28,19162,24457,1
29,19162,24814,1
30,19162,25681,1
31,19162,37120,1
32,19162,36364,1
33,19162,35231,1
34,19162,35217,1
35,19162,35083,1
36,19162,35038,1
37,19162,34574,1
38,19162,32916,1
39,19162,32299,1
40,19162,31575,1
41,19162,31539,1
42,19162,31471,1
43,19162,31338,1
44,19162,31275,1
45,19162,31130,1
46,19162,30673,1
47,19162,30583,1
48,19162,30450,1
49,19162,30021,1
50,19162,29894,1
51,19162,29740,1
52,19162,29439,1
53,19162,28785,1
54,19162,28484,1
55,19162,28330,1
56,19162,27881,1
57,19162,27178,1
58,19151,44234,1
59,19162,38067,1
60,19151,43974,1
61,19151,43713,1
62,19151,34103,1
63,19151,34067,1
64,19151,33560,1
65,19151,33431,1
66,19151,32964,1
67,19151,32299,1
68,19151,31707,1
69,19151,31391,1
70,19151,31372,1
71,19151,31130,1
72,19151,31020,1
73,19151,30751,1
74,19151,34308,1
75,19151,30731,1
76,19151,30287,1
77,19151,30273,1
78,19151,30064,1
79,19151,30043,1
80,19151,29734,1
81,19151,29088,1
82,19151,29011,1
83,19151,28898,1
84,19151,27686,1
85,19151,27330,1
86,19151,26373,1
87,19151,26060,1
88,19151,30583,1
89,19151,34433,1
90,19151,34582,1
91,19151,35256,1
92,19151,43363,1
93,19151,43129,1
94,19151,42702,1
95,19151,42620,1
96,19151,41526,1
97,19151,41436,1
98,19151,41377,1
99,19151,41033,1
100,19151,40633,1
101,19151,40598,1
102,19151,40470,1
103,19151,39732,1
104,19151,39545,1
105,19151,38892,1
106,19151,37805,1
107,19151,37475,1
108,19151,37330,1
109,19151,37247,1
110,19151,37033,1
111,19151,37016,1
112,19151,36808,1
113,19151,36399,1
114,19151,36005,1
115,19151,35973,1
116,19151,35943,1
117,19151,35923,1
118,19151,35515,1
119,19151,43723,1
120,19151,24785,1
121,19162,39265,1
122,19162,40072,1
123,19250,30855,1
124,19250,30583,1
125,19250,30035,1
126,19250,29894,1
127,19250,29734,1
128,19250,29439,1
129,19250,29298,1
130,19250,28947,1
131,19250,28826,1
132,19250,28656,1
133,19250,28207,1
134,19250,27735,1
135,19250,31471,1
136,19250,27684,1
137,19250,27204,1
138,19250,26641,1
139,19250,26504,1
140,19250,25821,1
141,19250,25683,1
142,19250,24382,1
143,19250,24216,1
144,19250,23537,1
145,19250,23361,1
146,19250,23348,1
147,19250,22939,1
148,19250,22922,1
149,19250,27451,1
150,19250,32163,1
151,19250,32666,1
152,19250,33724,1
153,19250,44912,1
154,19250,44761,1
155,19250,44491,1
156,19250,43302,1
157,19250,42591,1
158,19250,42421,1
159,19250,42356,1
160,19250,42294,1
161,19250,41725,1
162,19250,41637,1
163,19250,41527,1
164,19250,41077,1
165,19250,41055,1
166,19250,40913,1
167,19250,39799,1
168,19250,39557,1
169,19250,39549,1
170,19250,38902,1
171,19250,38847,1
172,19250,38067,1
173,19250,36442,1
174,19250,35855,1
175,19250,35838,1
176,19250,34906,1
177,19250,34850,1
178,19250,34036,1
179,19250,33884,1
180,19250,22588,1
181,19162,39732,1
182,19250,22504,1
183,19250,22262,1
184,19162,48682,1
185,19162,48622,1
186,19162,47772,1
187,19162,47676,1
188,19162,47061,1
189,19162,46962,1
190,19162,46959,1
191,19162,46770,1
192,19162,44912,1
193,19162,44628,1
194,19162,44234,1
195,19162,44014,1
196,19162,49284,1
197,19162,43968,1
198,19162,42557,1
199,19162,42294,1
200,19162,41198,1
201,19162,40826,1
202,19162,40821,1
